"Age" "Educ" "Hours" "Sex" "TVHours" "Happy" "MEduc" "FEduc" "Marital" "Sibs" "Work" "Zodiac" "Income"
48 12 21 "Female" 1 "Very Happy" 4 4 "Married" 6 "Parttime" "Capricorn" 55000
29 15 56 "Male" 2 "Pretty Happy" 12 12 "Never Married" 2 "Fulltime" "Leo" 55000
26 13 31 "Male" 3 "Pretty Happy" 12 16 "Divorced" 6 "Fulltime" "Capricorn" 27500
47 17 63 "Male" 3 "Pretty Happy" 12 12 "Married" 1 "Not Working" "Scorpio" 45000
43 16 60 "Male" 4 "Pretty Happy" 15 14 "Married" 4 "Fulltime" "Cancer" 82500
54 12 54 "Female" 6 "Not Too Happy" 8 8 "Divorced" 1 "Not Working" "Gemini" 9000
47 8 40 "Male" 10 "Pretty Happy" 9 12 "Married" 1 "Fulltime" "Virgo" 13750
31 13 40 "Male" 1 "Pretty Happy" 12 12 "Never Married" 7 "Fulltime" "Cancer" 37500
60 14 35 "Female" 8 "Very Happy" 9 8 "Separated" 1 "Fulltime" "Aries" 18750
44 12 37 "Female" 5 "Pretty Happy" 12 10 "Never Married" 3 "Fulltime" "Pisces" 18750
24 12 34 "Female" 7 "Not Too Happy" 11 13 "Never Married" 7 "Housekeeping" "Capricorn" 4500
38 16 40 "Female" 1 "Very Happy" 14 14 "Married" 6 "Fulltime" "Gemini" 1e+05
73 18 15 "Female" 3 "Very Happy" 14 13 "Divorced" 1 "Fulltime" "Cancer" 82500
31 18 65 "Female" 1 "Pretty Happy" 12 16 "Married" 1 "Fulltime" "Cancer" 110000
34 16 28 "Female" 3 "Very Happy" 16 15 "Married" 1 "Parttime" "Pisces" 110000
26 16 50 "Female" 0 "Very Happy" 18 16 "Never Married" 2 "Fulltime" "Virgo" 32500
38 13 45 "Male" 2 "Pretty Happy" 2 6 "Married" 6 "Fulltime" "Libra" 55000
29 16 40 "Female" 3 "Pretty Happy" 14 18 "Never Married" 1 "Fulltime" "Scorpio" 82500
32 20 40 "Male" 2 "Very Happy" 14 14 "Married" 2 "Fulltime" "Gemini" 110000
26 14 40 "Female" 3 "Pretty Happy" 16 12 "Married" 2 "Other" "Taurus" 55000
37 16 40 "Male" 3 "Not Too Happy" 6 6 "Never Married" 4 "Fulltime" "Aries" 67500
26 16 40 "Female" 1 "Very Happy" 18 12 "Married" 1 "Fulltime" "Taurus" 32500
23 15 20 "Male" 2 "Pretty Happy" 16 16 "Never Married" 2 "Parttime" "Scorpio" 1e+05
22 12 40 "Male" 6 "Pretty Happy" 12 11 "Never Married" 2 "Fulltime" "Scorpio" 16250
37 14 68 "Male" 2 "Pretty Happy" 12 13 "Married" 3 "Fulltime" "Taurus" 67500
51 20 75 "Male" 2 "Very Happy" 14 14 "Married" 1 "Fulltime" "Sagittarius" 110000
59 14 70 "Male" 1 "Very Happy" 14 16 "Married" 3 "Fulltime" "Sagittarius" 110000
52 12 40 "Male" 3 "Very Happy" 12 3 "Married" 6 "Fulltime" "Sagittarius" 27500
25 16 37 "Male" 0 "Pretty Happy" 14 16 "Never Married" 4 "Fulltime" "Gemini" 23750
19 13 40 "Male" 2 "Pretty Happy" 12 12 "Never Married" 2 "Fulltime" "Taurus" 110000
43 18 48 "Female" 2 "Pretty Happy" 16 16 "Married" 0 "Fulltime" "Virgo" 82500
36 16 60 "Female" 1 "Pretty Happy" 18 18 "Married" 1 "Fulltime" "Capricorn" 110000
